Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,36263,1269,25198,9796,106,10,18,5.04,35526,737,2.07,Eastern Mediterranean
Albania,4880,144,2745,1991,117,6,63,5.25,4171,709,17,Europe
Algeria,27973,1163,18837,7973,616,8,749,6.17,23691,4282,18.07,Africa
Andorra,907,52,803,52,10,0,0,6.48,884,23,2.6,Europe
Angola,950,41,242,667,18,1,0,16.94,749,201,26.84,Africa
Antigua and Barbuda,86,3,65,18,4,0,5,4.62,76,10,13.16,Americas
Argentina,167416,3059,72575,91782,4890,120,2057,4.21,130774,36642,28.02,Americas
Armenia,37390,711,26665,10014,73,6,187,2.67,34981,2409,6.89,Europe
Australia,15303,167,9311,5825,368,6,137,1.79,12428,2875,23.13,Western Pacific
Austria,20558,713,18246,1599,86,1,37,3.91,19743,815,4.13,Europe
Azerbaijan,30446,423,23242,6781,396,6,558,1.82,27890,2556,9.16,Europe
Bahamas,382,11,91,280,40,0,0,12.09,174,208,119.54,Americas
Bahrain,39482,141,36110,3231,351,1,421,0.39,36936,2546,6.89,Eastern Mediterranean
Bangladesh,226225,2965,125683,97577,2772,37,1801,2.36,207453,18772,9.05,South-East Asia
Barbados,110,7,94,9,0,0,0,7.45,106,4,3.77,Americas
Belarus,67251,538,60492,6221,119,4,67,0.89,66213,1038,1.57,Europe
Belgium,66428,9822,17452,39154,402,1,14,56.28,64094,2334,3.64,Europe
Belize,48,2,26,20,0,0,0,7.69,40,8,20,Americas
Benin,1770,35,1036,699,0,0,0,3.38,1602,168,10.49,Africa
Bhutan,99,0,86,13,4,0,1,0,90,9,10,South-East Asia
Bolivia,71181,2647,21478,47056,1752,64,309,12.32,60991,10190,16.71,Americas
Bosnia and Herzegovina,10498,294,4930,5274,731,14,375,5.96,8479,2019,23.81,Europe
Botswana,739,2,63,674,53,1,11,3.17,522,217,41.57,Africa
Brazil,2442375,87618,1846641,508116,23284,614,33728,4.74,2118646,323729,15.28,Americas
Brunei,141,3,138,0,0,0,0,2.17,141,0,0,Western Pacific
Bulgaria,10621,347,5585,4689,194,7,230,6.21,8929,1692,18.95,Europe
Burkina Faso,1100,53,926,121,14,0,6,5.72,1065,35,3.29,Africa
