Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,Mortality_Rate,Recovery_Rate
United Kingdom,301708,45844,1437,254427,688,7,3,3190.26,296944,4764,1.6,Europe,15.194824134593713,0.47628833176448754
Belgium,66428,9822,17452,39154,402,1,14,56.28,64094,2334,3.64,Europe,14.785933642439936,26.272053953152287
Italy,246286,35112,198593,12581,168,5,147,17.68,244624,1662,0.68,Europe,14.256595990027854,80.63511527248808
France,220352,30212,81212,108928,2551,17,267,37.2,214023,6329,2.96,Europe,13.71079000871333,36.855576532094105
Netherlands,53413,6160,189,47064,419,1,0,3259.26,52132,1281,2.46,Europe,11.532772920450078,0.35384644187744557
Spain,272421,28432,150376,93613,0,0,0,18.91,264836,7585,2.86,Europe,10.436787178668311,55.19985610507266
Sweden,79395,5700,0,73695,398,3,0,inf,78048,1347,1.73,Europe,7.179293406385792,0.0
Romania,45902,2206,25794,17902,1104,19,151,8.55,38139,7763,20.35,Europe,4.805890810857915,56.19362990719359
Kyrgyzstan,33296,1301,21205,10790,483,24,817,6.14,27143,6153,22.67,Europe,3.9073762614127823,63.686328688130715
Portugal,50299,1719,35375,13205,135,2,158,4.86,48771,1528,3.13,Europe,3.417562973418955,70.32943000854888
Turkey,227019,5630,210469,10920,919,17,982,2.67,220572,6447,2.92,Europe,2.4799686369863316,92.7098612891432
Ukraine,67096,1636,37202,28258,835,11,317,4.4,60767,6329,10.42,Europe,2.438297364969596,55.44592822224872
Serbia,24141,543,0,23598,411,9,0,inf,21253,2888,13.59,Europe,2.249285447993041,0.0
Armenia,37390,711,26665,10014,73,6,187,2.67,34981,2409,6.89,Europe,1.901577962021931,71.31585985557636
Russia,816680,13334,602249,201097,5607,85,3077,2.21,776212,40468,5.21,Europe,1.632708037419797,73.74357153352598
Israel,63985,474,27133,36378,2029,4,108,1.75,52003,11982,23.04,Europe,0.7407986246776588,42.40525123075721
Kazakhstan,84648,585,54404,29659,1526,0,1833,1.08,73468,11180,15.22,Europe,0.6910972497873547,64.27086286740384
