name,mfr,calories,protein,fat,carbo,sugars
100% Bran,N,70,4,1,5,6
100% Natural Bran,Q,120,3,5,8,8
All-Bran,K,70,4,1,7,5
All-Bran with Extra Fiber,K,50,4,0,8,0
Almond Delight,R,110,2,2,14,8
Apple Cinnamon Cheerios,G,110,2,2,10.5,10
Apple Jacks,K,110,2,0,11,14
Basic 4,G,130,3,2,18,8
Bran Chex,R,90,2,1,15,6
Bran Flakes,P,90,3,0,13,5
Cap'n'Crunch,Q,120,1,2,12,12
Cheerios,G,110,6,2,17,1
Cinnamon Toast Crunch,G,120,1,3,13,9
Clusters,G,110,3,2,13,7
Cocoa Puffs,G,110,1,1,12,13
Corn Chex,R,110,2,0,22,3
Corn Flakes,K,100,2,0,21,2
Corn Pops,K,110,1,0,13,12
Count Chocula,G,110,1,1,12,13
Cracklin' Oat Bran,K,110,3,3,10,7
Cream of Wheat (Quick),N,100,3,0,21,0
Crispix,K,110,2,0,21,3
Crispy Wheat & Raisins,G,100,2,1,11,10
Double Chex,R,100,2,0,18,5
Froot Loops,K,110,2,1,11,13
Frosted Flakes,K,110,1,0,14,11
Frosted Mini-Wheats,K,100,3,0,14,7
Fruit & Fibre Dates Walnuts and Oats,P,120,3,2,12,10
Fruitful Bran,K,120,3,0,14,12
Fruity Pebbles,P,110,1,1,13,12
Golden Crisp,P,100,2,0,11,15
Golden Grahams,G,110,1,1,15,9
Grape Nuts Flakes,P,100,3,1,15,5
Grape-Nuts,P,110,3,0,17,3
Great Grains Pecan,P,120,3,3,13,4
Honey Graham Ohs,Q,120,1,2,12,11
Honey Nut Cheerios,G,110,3,1,11.5,10
Honey-comb,P,110,1,0,14,11
Just Right Crunchy  Nuggets,K,110,2,1,17,6
Just Right Fruit & Nut,K,140,3,1,20,9
Kix,G,110,2,1,21,3
Life,Q,100,4,2,12,6
Lucky Charms,G,110,2,1,12,12
Maypo,A,100,4,1,16,3
Muesli Raisins Dates & Almonds,R,150,4,3,16,11
Muesli Raisins Peaches & Pecans,R,150,4,3,16,11
Mueslix Crispy Blend,K,160,3,2,17,13
Multi-Grain Cheerios,G,100,2,1,15,6
Nut&Honey Crunch,K,120,2,1,15,9
Nutri-Grain Almond-Raisin,K,140,3,2,21,7
Nutri-grain Wheat,K,90,3,0,18,2
Oatmeal Raisin Crisp,G,130,3,2,13.5,10
Post Nat. Raisin Bran,P,120,3,1,11,14
Product 19,K,100,3,0,20,3
Puffed Rice,Q,50,1,0,13,0
Puffed Wheat,Q,50,2,0,10,0
Quaker Oat Squares,Q,100,4,1,14,6
Quaker Oatmeal,Q,100,5,2,-1,-1
Raisin Bran,K,120,3,1,14,12
Raisin Nut Bran,G,100,3,2,10.5,8
Raisin Squares,K,90,2,0,15,6
Rice Chex,R,110,1,0,23,2
Rice Krispies,K,110,2,0,22,3
Shredded Wheat,N,80,2,0,16,0
Shredded Wheat 'n'Bran,N,90,3,0,19,0
Shredded Wheat spoon size,N,90,3,0,20,0
Smacks,K,110,2,1,9,15
Special K,K,110,6,0,16,3
Strawberry Fruit Wheats,N,90,2,0,15,5
Total Corn Flakes,G,110,2,1,21,3
Total Raisin Bran,G,140,3,1,15,14
Total Whole Grain,G,100,3,1,16,3
Triples,G,110,2,1,21,3
Trix,G,110,1,1,13,12
Wheat Chex,R,100,3,1,17,3
Wheaties,G,100,3,1,17,3
Wheaties Honey Gold,G,110,2,1,16,8
