Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,36263,1269,25198,9796,106,10,18,35526,737,2.07,Eastern Mediterranean
Albania,4880,144,2745,1991,117,6,63,4171,709,17,Europe
Algeria,27973,1163,18837,7973,616,8,749,23691,4282,18.07,Africa
Andorra,907,52,803,52,10,0,0,884,23,2.6,Europe
Angola,950,41,242,667,18,1,0,749,201,26.84,Africa
Antigua and Barbuda,86,3,65,18,4,0,5,76,10,13.16,Americas
Argentina,167416,3059,72575,91782,4890,120,2057,130774,36642,28.02,Americas
Armenia,37390,711,26665,10014,73,6,187,34981,2409,6.89,Europe
Australia,15303,167,9311,5825,368,6,137,12428,2875,23.13,Western Pacific
Austria,20558,713,18246,1599,86,1,37,19743,815,4.13,Europe
Azerbaijan,30446,423,23242,6781,396,6,558,27890,2556,9.16,Europe
Bahamas,382,11,91,280,40,0,0,174,208,119.54,Americas
Bahrain,39482,141,36110,3231,351,1,421,36936,2546,6.89,Eastern Mediterranean
Bangladesh,226225,2965,125683,97577,2772,37,1801,207453,18772,9.05,South-East Asia
Barbados,110,7,94,9,0,0,0,106,4,3.77,Americas
Belarus,67251,538,60492,6221,119,4,67,66213,1038,1.57,Europe
Belgium,66428,9822,17452,39154,402,1,14,64094,2334,3.64,Europe
Belize,48,2,26,20,0,0,0,40,8,20,Americas
Benin,1770,35,1036,699,0,0,0,1602,168,10.49,Africa
Bhutan,99,0,86,13,4,0,1,90,9,10,South-East Asia
Bolivia,71181,2647,21478,47056,1752,64,309,60991,10190,16.71,Americas
Bosnia and Herzegovina,10498,294,4930,5274,731,14,375,8479,2019,23.81,Europe
Botswana,739,2,63,674,53,1,11,522,217,41.57,Africa
Brazil,2442375,87618,1846641,508116,23284,614,33728,2118646,323729,15.28,Americas
Brunei,141,3,138,0,0,0,0,141,0,0,Western Pacific
Bulgaria,10621,347,5585,4689,194,7,230,8929,1692,18.95,Europe
Burkina Faso,1100,53,926,121,14,0,6,1065,35,3.29,Africa
Burma,350,6,292,52,0,0,2,341,9,2.64,South-East Asia
Burundi,378,1,301,76,17,0,22,322,56,17.39,Africa
Cabo Verde,2328,22,1550,756,21,0,103,2071,257,12.41,Africa
Cambodia,226,0,147,79,1,0,4,171,55,32.16,Western Pacific
Cameroon,17110,391,14539,2180,402,6,0,16157,953,5.9,Africa
Canada,116458,8944,0,107514,682,11,0,112925,3533,3.13,Americas
Central African Republic,4599,59,1546,2994,0,0,0,4548,51,1.12,Africa
Chad,922,75,810,37,7,0,0,889,33,3.71,Africa
Chile,347923,9187,319954,18782,2133,75,1859,333029,14894,4.47,Americas
China,86783,4656,78869,3258,213,4,7,85622,1161,1.36,Western Pacific
Colombia,257101,8777,131161,117163,16306,508,11494,204005,53096,26.03,Americas
Comoros,354,7,328,19,0,0,0,334,20,5.99,Africa
Congo (Brazzaville),3200,54,829,2317,162,3,73,2851,349,12.24,Africa
Congo (Kinshasa),8844,208,5700,2936,13,4,190,8443,401,4.75,Africa
Costa Rica,15841,115,3824,11902,612,11,88,11534,4307,37.34,Americas
Cote d'Ivoire,15655,96,10361,5198,59,0,183,14312,1343,9.38,Africa
Croatia,4881,139,3936,806,24,3,70,4370,511,11.69,Europe
Cuba,2532,87,2351,94,37,0,2,2446,86,3.52,Americas
Cyprus,1060,19,852,189,3,0,0,1038,22,2.12,Europe
Czechia,15516,373,11428,3715,192,2,0,14098,1418,10.06,Europe
Denmark,13761,613,12605,543,109,0,77,13453,308,2.29,Europe
Djibouti,5059,58,4977,24,9,0,11,5020,39,0.78,Eastern Mediterranean
Dominica,18,0,18,0,0,0,0,18,0,0,Americas
Dominican Republic,64156,1083,30204,32869,1248,20,1601,53956,10200,18.9,Americas
Ecuador,81161,5532,34896,40733,467,17,0,74620,6541,8.77,Americas
Egypt,92482,4652,34838,52992,420,46,1007,88402,4080,4.62,Eastern Mediterranean
El Salvador,15035,408,7778,6849,405,8,130,12207,2828,23.17,Americas
Equatorial Guinea,3071,51,842,2178,0,0,0,3071,0,0,Africa
Eritrea,265,0,191,74,2,0,2,251,14,5.58,Africa
