ID,position
1,Forward
2,Forward
3,Guard
4,Forward
5,Forward
6,Forward-Center
7,Guard
8,Forward
9,Forward
10,Forward-Center
11,Guard
12,Center-Forward
13,Guard
14,Guard
15,Forward
16,Guard-Forward
17,Forward-Center
18,Forward
19,Forward
20,Forward
21,Guard
22,Forward
23,Forward
24,Guard
25,Forward-Center
26,Forward-Guard
27,Guard
28,Forward
29,Guard
30,Forward
31,Center-Forward
32,Forward
33,Forward
34,Center
35,Forward
36,Guard
37,Guard
38,Center-Forward
39,Center
40,Guard
41,Forward
42,Guard
43,Guard-Forward
44,Forward
45,Forward
46,Center
47,Guard-Forward
48,Center
49,Guard-Forward
50,Forward
51,Forward
52,Forward-Center
53,Forward
54,Forward
55,Guard
56,Forward
57,Forward-Guard
58,Guard
59,Guard
60,Guard
61,Center
62,Center
63,Center
64,Forward-Guard
65,Center-Forward
66,Center
67,Center
68,Center-Forward
69,Guard-Forward
70,Guard
71,Guard
72,Forward
73,Forward
74,Forward
75,Forward-Guard
76,Guard
77,Guard-Forward
78,Forward
79,Forward
80,Forward
81,Guard
82,Forward-Center
83,Guard
84,Guard
85,Forward
86,Center
87,Center
88,Center
89,Guard
90,Guard
91,Forward
92,Guard
93,Forward
94,Guard
95,Forward
96,Guard
97,Forward
98,Forward
99,Forward
100,Forward
101,Guard
102,Center
103,Guard
104,Guard
105,Forward-Center
106,Guard-Forward
107,Forward
108,Guard-Forward
109,Guard
110,Forward
111,Center
112,Center
113,Center
114,Forward
115,Forward
116,Forward
117,Center
118,Guard
119,Forward
120,Guard
121,Guard
122,Forward
123,Guard
124,Guard
125,Forward
126,Forward-Center
127,Forward
128,Guard
129,Forward-Center
130,Forward
131,Guard
132,Center-Forward
133,Guard
134,Forward
135,Guard
136,Center
137,Forward
138,Guard
139,Forward
140,Guard
141,Forward
142,Forward
143,Guard
144,Guard
145,Forward-Guard
146,Forward
147,Forward
148,Guard
149,Guard
150,Guard
151,Guard
152,Guard
153,Forward-Center
154,Center
155,Guard
156,Center
157,Forward
158,Center
159,Center-Forward
160,Forward-Guard
161,Center
162,Forward
163,Forward-Center
164,Forward
165,Forward
166,Guard-Forward
167,Guard
168,Forward
169,Guard
170,Forward
171,Forward
172,Forward-Guard
173,Forward
174,Forward
175,Center
176,Guard
177,Guard-Forward
178,Guard-Forward
179,Forward
180,Forward
181,Guard
182,Guard
183,Forward
184,Forward
185,Forward
186,Guard
187,Forward
188,Forward-Guard
189,Center
190,Guard
191,Center
192,Guard
193,Center
194,Forward-Center
195,Guard
196,Guard
197,Guard
198,Guard
199,Forward
200,Guard-Forward
201,Forward-Center
202,Guard
203,Forward
204,Guard
205,Forward
206,Forward
207,Guard
208,Center-Forward
209,Guard
210,Guard
211,Forward
212,Guard-Forward
213,Forward
214,Forward
215,Center
216,Guard
217,Forward
218,Guard-Forward
219,Forward
220,Forward
221,Guard
222,Forward
223,Forward
224,Forward
225,Center-Forward
226,Guard
227,Center
228,Guard
229,Forward
230,Forward
231,Forward
232,Forward
233,Center
234,Forward
235,Forward
236,Forward
237,Guard
238,Guard-Forward
239,Guard
240,Center
241,Guard
242,Center
243,Forward
244,Forward-Center
245,Guard
246,Guard
247,Forward
248,Guard
249,Center-Forward
250,Forward
251,Forward
252,Guard
253,Forward
254,Forward
255,Center
256,Forward
257,Forward
258,Forward-Center
259,Forward
260,Center
261,Center
262,Forward-Center
263,Guard
264,Forward
265,Forward
266,Center
267,Forward
268,Forward
269,Guard
270,Center-Forward
271,Guard
272,Guard
273,Guard-Forward
274,Center-Forward
275,Forward
276,Forward-Center
277,Forward
278,Center
279,Forward
280,Forward
281,Forward
282,Forward
283,Guard
284,Forward
285,Center
286,Center
287,Guard
288,Center-Forward
289,Guard
290,Forward
291,Guard
292,Forward-Center
293,Forward
294,Guard
295,Center
296,Forward
297,Guard
298,Forward
299,Guard-Forward
300,Guard
301,Forward
302,Guard
303,Forward
304,Guard
305,Guard-Forward
306,Forward
307,Center-Forward
308,Forward
309,Forward
310,Forward
311,Forward-Center
312,Center
313,Forward-Center
314,Guard
315,Forward
316,Forward
317,Forward
318,Forward
319,Forward
320,Forward
321,Forward
322,Forward
323,Guard
324,Forward
325,Guard-Forward
326,Forward
327,Forward-Center
328,Guard
329,Guard-Forward
330,Forward
331,Forward
332,Guard
333,Forward
334,Forward
335,Forward
336,Center
337,Guard
338,Forward-Center
339,Center-Forward
340,Forward
341,Forward
342,Forward
343,Guard
344,Forward
345,Forward
346,Guard
347,Forward
348,Forward
349,Guard
350,Guard
351,Forward
352,Center
353,Forward
354,Center
355,Forward-Center
356,Forward
357,Forward-Center
358,Guard
359,Forward
360,Guard
361,Center
362,Forward
363,Guard
364,Forward
365,Forward-Center
366,Guard
367,Forward-Center
368,Center
369,Center-Forward
370,Guard
371,Forward
372,Guard
373,Guard
374,Guard-Forward
375,Forward
376,Guard
377,Forward-Center
378,Forward
379,Forward
380,Guard-Forward
381,Guard-Forward
382,Guard
383,Forward-Center
384,Guard
385,Center
386,Center-Forward
387,Guard
388,Guard
389,Forward-Center
390,Forward
391,Forward-Center
392,Center
393,Guard
394,Forward
395,Guard
396,Guard
397,Center
398,Forward
399,Guard
400,Forward-Center
401,Forward
402,Forward
403,Guard
404,Forward-Center
405,Guard
406,Center-Forward
