ID,MIN
1,39.8
2,2282.2
3,1446.8
4,515.4
5,133.6
6,862.4
7,287.6
8,4.2
9,1316.6
10,1410.0
11,64.0
12,2405.0
13,877.6
14,911.8
15,2507.4
16,1882.6
17,2140.2
18,257.4
19,1185.0
20,697.4
21,163.2
22,2623.6
23,267.4
24,740.8
25,1064.2
26,654.8
27,2556.2
28,504.8
29,71.0
30,508.0
31,23.2
32,2738.0
33,2131.2
34,62.8
35,1479.0
36,565.0
37,48.2
38,1754.2
39,414.4
40,422.6
41,45.4
42,2119.4
43,1163.4
44,174.4
45,2650.8
46,42.4
47,53.4
48,2379.8
49,673.6
50,292.8
51,1084.4
52,698.0
53,1554.0
54,116.4
55,2517.4
56,2577.2
57,2548.0
58,7.6
59,2761.4
60,554.4
61,86.4
62,1304.8
63,1129.0
64,811.4
65,2549.0
66,12.8
67,1311.0
68,165.2
69,2301.4
70,2529.4
71,1412.6
72,2772.8
73,937.6
74,40.0
75,2651.2
76,1915.0
77,25.6
78,141.8
79,1438.6
80,2841.8
81,2338.2
82,926.8
83,83.2
84,50.6
85,836.8
86,207.0
87,2563.0
88,265.2
89,21.0
90,1414.6
91,1497.8
92,2877.2
93,387.2
94,111.6
95,642.4
96,923.8
97,2932.8
98,2259.6
99,2901.2
100,1511.6
101,2586.4
102,780.6
103,2512.6
104,1764.0
105,532.0
106,244.0
107,1161.0
108,39.8
109,493.4
110,1091.4
111,580.6
112,1282.8
113,190.6
114,1094.4
115,739.0
116,2365.6
117,2691.2
118,2579.0
119,163.2
120,1567.6
121,2270.4
122,749.4
123,5.6
124,8.6
125,360.6
126,1093.0
127,2188.4
128,44.0
129,115.0
130,2318.2
131,136.2
132,111.6
133,784.4
134,1099.2
135,5.2
136,303.4
137,819.2
138,1936.2
139,99.8
140,270.4
141,1524.4
142,75.2
143,1443.0
144,1919.6
145,2881.8
146,313.2
147,1933.6
148,2300.6
149,1080.0
150,1478.0
151,1499.4
152,1563.8
153,669.0
154,160.2
155,621.0
156,2966.6
157,2001.2
158,1860.4
159,1441.6
160,1522.4
161,1861.6
162,2018.0
163,311.0
164,2075.6
165,145.2
166,2029.6
167,128.6
168,1131.8
169,22.8
170,1402.6
171,758.0
172,115.4
173,1521.4
174,2371.2
175,3094.2
176,2532.8
177,2586.6
178,1147.8
179,1319.4
180,2147.4
181,27.2
182,535.0
183,1122.6
184,38.4
185,126.8
186,160.0
187,2869.4
188,82.8
189,2349.6
190,632.4
191,2269.6
192,1518.6
193,1115.4
194,2012.4
195,2729.8
196,251.4
197,28.4
198,1092.6
199,705.0
200,166.2
201,611.0
202,2362.6
203,123.4
204,2231.2
205,2346.8
206,988.4
207,1311.0
208,1100.0
209,6.8
210,1328.6
211,2647.2
212,2341.4
213,2670.2
214,2271.6
215,83.0
216,2762.2
217,249.8
218,81.4
219,2786.8
220,681.8
221,293.8
222,194.4
223,3176.6
224,489.6
225,202.4
226,500.0
227,108.6
228,2735.4
229,1647.6
230,1308.0
231,217.2
232,107.8
233,2292.2
234,535.4
235,283.2
236,2142.8
237,247.4
238,870.2
239,448.4
240,1822.8
241,264.0
242,895.8
243,1563.4
244,2695.0
245,2042.0
246,89.2
247,2068.2
248,722.0
249,2855.6
250,621.6
251,609.6
252,1748.4
253,25.8
254,262.6
255,525.0
256,2785.2
257,1091.6
258,1298.0
259,1965.2
260,757.4
261,480.0
262,1212.2
263,16.0
264,400.6
265,2579.2
266,2703.0
267,1296.4
268,2675.4
269,1147.2
270,2756.2
271,123.6
272,32.2
273,1199.8
274,1657.2
275,1320.6
276,1683.2
277,940.0
278,643.2
279,917.8
280,118.8
281,21.0
282,1591.4
283,2507.4
284,686.4
285,118.2
286,35.0
287,14.0
288,2717.8
289,11.6
290,38.6
291,591.8
292,2910.4
293,2076.6
294,1080.6
295,2142.2
296,896.0
297,344.2
298,1992.2
299,1977.4
300,723.0
301,332.8
302,1305.4
303,236.2
304,983.2
305,505.0
306,1478.4
307,2243.8
308,2826.2
309,980.0
310,6.6
311,953.8
312,342.8
313,863.0
314,1480.8
315,355.0
316,929.0
317,85.8
318,1704.4
319,40.4
320,1611.4
321,2543.0
322,763.8
323,2488.4
324,1430.2
325,44.4
326,3043.0
327,691.4
328,11.4
329,40.4
330,1502.2
331,2694.0
332,1282.0
333,1900.8
334,164.2
335,2457.8
336,555.0
337,1081.4
338,1247.6
339,2370.8
340,1619.2
341,2889.6
342,1038.0
343,523.4
344,537.2
345,279.2
346,73.2
347,2248.0
348,2083.8
349,897.2
350,100.8
351,1331.6
352,533.8
353,1214.8
354,1381.2
355,56.4
356,711.0
357,421.0
358,1353.2
359,1990.0
360,873.6
361,234.6
362,775.8
363,24.4
364,887.2
365,870.2
366,211.4
367,1629.6
368,74.2
369,838.2
370,64.6
371,5.0
372,1347.8
373,17.4
374,1281.8
375,2791.0
376,2353.4
377,1440.4
378,2182.2
379,1348.6
380,1495.4
381,1832.2
382,7.6
383,2439.0
384,352.0
385,3.0
386,2276.6
387,871.0
388,1005.4
389,7.8
390,546.2
391,523.4
392,1333.8
393,37.2
394,976.2
395,998.8
396,1218.0
397,526.2
398,7.6
399,1958.6
400,2138.8
401,250.4
402,2319.2
403,741.0
404,2228.8
405,2410.2
406,357.0
407,1043.2
408,121.6
409,2176.4
410,466.4
411,360.8
412,2222.6
413,1301.0
414,139.8
415,2314.4
416,126.2
417,1017.2
418,814.8
419,2301.4
420,2333.0
421,1899.0
422,2632.8
423,521.6
424,1775.2
425,237.2
426,764.2
427,810.6
428,2888.8
429,1401.8
430,1299.0
431,1135.8
432,394.4
433,2768.4
434,8.6
435,500.2
436,1544.0
437,997.4
438,45.2
439,121.8
440,1972.0
441,1063.6
442,582.8
443,2363.0
444,1062.8
445,23.8
446,340.0
447,1174.6
448,2190.6
449,1480.4
450,8.0
451,2521.2
452,616.2
453,961.2
454,33.0
455,853.0
456,1212.4
457,412.0
458,1411.2
459,68.2
460,1479.6
461,902.8
462,128.2
463,1923.8
464,909.4
465,188.8
466,162.0
467,4.4
468,1135.0
469,1065.6
470,656.8
471,368.0
472,1520.6
473,105.8
474,1682.6
475,781.0
476,2060.2
477,1487.6
478,1112.2
479,29.4
480,549.6
481,152.2
482,2597.6
483,1973.6
484,435.4
485,358.2
486,37.2
487,1.6
488,9.2
489,2244.6
490,1779.4
491,566.2
492,2219.4
493,650.4
494,327.0
495,1475.0
496,85.0
497,7.0
498,1080.0
499,2411.0
500,168.0
501,2386.8
502,910.4
503,31.2
504,1069.0
505,2430.4
506,151.8
507,1043.6
508,1052.0
509,1532.6
510,2489.0
511,1.8
512,1793.8
513,51.4
514,324.4
515,2549.0
516,263.4
517,275.8
518,155.2
519,637.8
