SEASON_ID,TEAM_ID,PLAYER_AGE,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,position
2004-05,1610612740,34.0,934.0,133,342,0.389,28,80,0.35,67,76,0.882,12,73,85,109,35,1,54,65,361,Guard
2001-02,1610612746,26.0,147.0,13,39,0.333,0,0,0.0,28,40,0.7,12,22,34,3,2,6,10,16,54,Center
1964-65,1610612765,28.0,753.0,84,221,0.38,,,,40,58,0.69,,,206,38,,,,136,208,Center
1988-89,1610612758,24.0,43.0,8,19,0.421,0,1,0.0,1,2,0.5,3,4,7.0,0,1,1,2,7,17,Forward
2011-12,1610612762,35.0,796.0,81,174,0.466,34,87,0.391,21,25,0.84,6,43,49,38,13,2,21,78,217,Guard
2012-13,1610612756,26.0,58.0,9,26,0.346,1,5,0.2,0,0,0.0,1,9,10,3,0,0,0,5,19,Forward-Center
1977-78,1610612762,25.0,2119.0,304,602,0.505,,,,225,289,0.779,249,510,759,233,89,129,225.0,293,833,Center
2012-13,1610612765,25.0,348.0,43,97,0.443,21,40,0.525,15,18,0.833,10,53,63,21,5,8,13,43,122,Forward
2003-04,1610612761,25.0,38.0,1,3,0.333,0,0,0.0,1,2,0.5,1,10,11,1,1,0,3,6,3,Forward
2012-13,1610612766,33.0,292.0,57,142,0.401,29,76,0.382,8,9,0.889,9,13,22,34,15,2,28,26,151,Guard
2020-21,1610612760,24.0,152.0,13,43,0.302,5,21,0.238,9,10,0.9,3,14,17,9,4,2,6,19,40,Guard
2004-05,1610612757,27.0,499.0,56,140,0.4,31,80,0.388,21,25,0.84,17,44,61,30,15,4,14,35,164,Guard
2022-23,1610612751,21.0,553.0,93,171,0.544,6,11,0.545,35,55,0.636,99,101,200,37,15,32,42,89,227,Center
1989-90,1610612762,32.0,1444.0,301,649,0.464,80,215,0.372,51,78,0.654,43,123,166,63,68,19,75,149,733,Guard
2004-05,1610612748,34.0,208.0,25,57,0.439,8,21,0.381,4,4,1.0,1,21,22,11,6,0,7,6,62,Guard-Forward
1978-79,1610612765,22.0,2560.0,456,946,0.482,,,,144,219,0.658,211,437,648,89,104,201,141,254,1056,Forward
2002-03,1610612752,32.0,1467.0,165,414,0.399,101,267,0.378,41,53,0.774,25,152,177,306,78,11,95,146,472,Guard
1946-47,1610610035,23.0,,58,260,0.223,,,,36,82,0.439,,,,42,,,,119,152,Center
1986-87,1610612744,29.0,950.0,240,501,0.479,4.0,17.0,0.235,137,160,0.856,55,82,137,86,45,7,68,103,621,Forward
