age,education,education level,marital status,Occupation,relationship,race,sex,Investment profit,Investment loss,hours per week,native country,income
27,5th to 6th Grade,3,Never-married,Technical and Labor Occupations,Own-child,Asian-Pac-Islander,Female,0,0,20,Vietnam,<=50K
35,High School Graduate,9,Separated,Technical and Labor Occupations,Not-in-family,White,Male,0,0,50,United-States,<=50K
44,Some College Education,10,Divorced,Technical and Labor Occupations,Unmarried,White,Female,0,1408,46,United-States,<=50K
52,9th Grade,5,Married-civ-spouse,Service Occupations,Wife,White,Female,0,0,40,United-States,<=50K
48,1st to 4th Grade,2,Married-civ-spouse,Service Occupations,Husband,White,Male,0,0,40,United-States,<=50K
54,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
36,Master's Degree,14,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,45,United-States,>50K
37,Some College Education,10,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,50,United-States,<=50K
20,Some College Education,10,Never-married,Service Occupations,Own-child,White,Male,0,0,25,United-States,<=50K
58,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,60,United-States,<=50K
72,High School Graduate,9,Widowed,Service Occupations,Unmarried,White,Female,0,0,16,United-States,<=50K
50,Master's Degree,14,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,50,United-States,<=50K
38,Professional School,15,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,99,United-States,>50K
29,High School Graduate,9,Never-married,Management and Administrative Occupations,Own-child,White,Female,0,0,40,United-States,<=50K
23,10th Grade,6,Never-married,Technical and Labor Occupations,Unmarried,White,Male,0,0,50,United-States,<=50K
25,Some College Education,10,Married-civ-spouse,Management and Administrative Occupations,Husband,Black,Male,0,0,38,United-States,<=50K
47,Bachelor's Degree,13,Never-married,Technical and Labor Occupations,Not-in-family,Black,Male,0,0,60,United-States,>50K
41,Bachelor's Degree,13,Separated,Technical and Labor Occupations,Not-in-family,White,Male,0,0,35,United-States,<=50K
49,High School Graduate,9,Divorced,Management and Administrative Occupations,Unmarried,White,Female,0,0,16,United-States,<=50K
36,High School Graduate,9,Divorced,Technical and Labor Occupations,Not-in-family,White,Male,4101,0,40,United-States,<=50K
42,High School Graduate,9,Separated,Service Occupations,Other-relative,Black,Female,0,0,40,United-States,<=50K
29,Bachelor's Degree,13,Married-civ-spouse,Service Occupations,Husband,White,Male,0,0,40,United-States,<=50K
46,Master's Degree,14,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,40,England,>50K
30,High School Graduate,9,Married-civ-spouse,Service Occupations,Husband,White,Male,0,0,40,United-States,>50K
40,High School Graduate,9,Never-married,Service Occupations,Own-child,White,Male,0,0,25,United-States,<=50K
42,High School Graduate,9,Divorced,Technical and Labor Occupations,Not-in-family,White,Male,0,0,40,United-States,<=50K
35,Some College Education,10,Married-civ-spouse,Service Occupations,Husband,White,Male,0,0,40,United-States,<=50K
34,Doctoral Degree,16,Married-civ-spouse,Professional Occupations,Husband,Asian-Pac-Islander,Male,0,0,20,China,<=50K
17,10th Grade,6,Never-married,Service Occupations,Own-child,White,Male,0,0,25,United-States,<=50K
38,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
28,High School Graduate,9,Never-married,Technical and Labor Occupations,Unmarried,White,Male,0,0,55,United-States,<=50K
35,High School Graduate,9,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,50,United-States,<=50K
47,11th Grade,7,Never-married,Technical and Labor Occupations,Not-in-family,Black,Male,0,0,40,United-States,<=50K
33,Bachelor's Degree,13,Never-married,Professional Occupations,Not-in-family,White,Male,2202,0,50,United-States,<=50K
42,Bachelor's Degree,13,Married-civ-spouse,Management and Administrative Occupations,Husband,White,Male,0,0,45,United-States,>50K
29,Bachelor's Degree,13,Never-married,Professional Occupations,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,Master's Degree,14,Married-civ-spouse,Professional Occupations,Husband,White,Male,0,0,38,United-States,>50K
41,Master's Degree,14,Divorced,Professional Occupations,Not-in-family,White,Male,0,1974,40,United-States,<=50K
20,High School Graduate,9,Never-married,Technical and Labor Occupations,Own-child,White,Male,0,0,40,United-States,<=50K
44,Some College Education,10,Divorced,Technical and Labor Occupations,Not-in-family,White,Male,0,0,42,United-States,<=50K
29,Some College Education,10,Never-married,Service Occupations,Own-child,White,Male,0,0,48,United-States,<=50K
24,Some College Education,10,Separated,Service Occupations,Not-in-family,White,Male,0,0,60,United-States,<=50K
58,High School Graduate,9,Married-civ-spouse,Technical and Labor Occupations,Husband,White,Male,0,0,40,United-States,<=50K
70,Master's Degree,14,Married-civ-spouse,Professional Occupations,Husband,White,Male,9386,0,30,United-States,>50K
24,7th to 8th Grade,4,Separated,Technical and Labor Occupations,Own-child,White,Male,0,0,40,United-States,<=50K
29,Vocational Associate Degree,11,Divorced,Service Occupations,Unmarried,White,Male,0,0,56,United-States,<=50K
25,Academic Associate Degree,12,Married-civ-spouse,Management and Administrative Occupations,Wife,White,Female,0,0,40,United-States,<=50K
46,Some College Education,10,Divorced,Technical and Labor Occupations,Unmarried,White,Female,0,0,40,United-States,<=50K
